idnumber	Canonical_Smiles	Group
Z45885260	CCN(CC)S(=O)(=O)c1ccc(C)c(NC(=S)N(Cc2c(C)onc2C)c3ccccc3)c1	L1
Z230127414	Cc1cccc(C(=O)NCc2cn(Cc3ccccc3)nc2c4ccccc4)c1[N+](=O)[O-]	L1
Z223090784	Cc1c(cccc1[N+](=O)[O-])C(=O)NCc2cn(Cc3ccccc3)nc2c4ccccc4	L1
Z2858885569	CC(C)(C)OC(=O)N[C@@H]1CC[C@H](CC1)N(Cc2c[nH]c(c2)C(=O)O)C(=O)OCC3c4ccccc4c5ccccc35	L1
Z56915609	CN1C(=Nc2sc(C)c(C)c2C1=O)SCC(=O)Nc3sc(Cc4ccccc4)c(C)c3C#N	L1
Z24592540	Cc1occc1c2oc(SCC(=O)Nc3sc4CCCCc4c3C(=O)c5ccccc5)nn2	L1
Z20213804	CCOC(=O)c1c(C)[nH]c(C(=O)CSC2=Nc3scc(c4ccccc4)c3C(=O)N2c5ccccc5)c1C	L1
Z46101642	CC(=O)N(c1ccc(C)c(C)c1)c2nc(\C=C(/CC(=O)O)\c3nc4ccccc4s3)cs2	L1
Z56978399	CCN(CC)S(=O)(=O)c1cccc(c1)C(=O)N[C@@H](C(C)C)C(=O)OCC(=O)c2ccc3Cc4ccccc4c3c2	L1
Z24356359	COc1cccc(CNC(=O)CSC2=Nc3sc4CCCc4c3C(=O)N2CCc5ccccc5)c1	L1
Z59314736	CC(C)(C)C1CCc2nc3ccccc3c(C(=O)Nc4cc(ccc4Cl)[N+](=O)[O-])c2C1	L1
Z24544963	COC(=O)c1sc2N=C(CSc3nnc(COc4ccc(Cl)cc4)n3Cc5ccccc5)NC(=O)c2c1C	L1
Z2968933195	CC(C)(C)C1=CC(=C\C=C\C=C\C=C2c3cc(cc(c3c4c2cc(cc4[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C=C(O1)C(C)(C)C	L1
Z19529156	CC(SC1=Nc2cc(sc2C(=O)N1Cc3ccccc3)c4ccc(C)cc4)C(=O)NC(=O)N	L1
Z56893343	COc1cc(cc(OC)c1OC)C(=O)NC(=S)N(CCc2ccccc2)CCc3ccccc3	L1
Z56774804	Cc1cccc(Cc2cnc(NC(=O)CCN3C(=S)S\C(=C/c4ccccc4)\C3=O)s2)c1	L1
